Kids_First_Biospecimen_ID,cluster_k
BS_00FD2KMP,E1
BS_028YFYJ6,E2
BS_052PZFMK,E1
BS_056Q8577,E3
BS_08ST21QE,E4
BS_0C7VZC0A,E2
BS_0S8E7590,E3
BS_0VXZCRJS,E2
BS_0XEBS3PG,E1
BS_0ZA67BBC,E1
BS_12G04QJM,E2
BS_17ZSMXFH,E2
BS_1A6MQ9ZA,E2
BS_1D93Z575,E2
BS_1EN5V3XW,E1
BS_223BM91B,E4
BS_25HNKZ79,E4
BS_2853394H,E1
BS_297H8BT4,E4
BS_29X4ZX6Q,E1
BS_2A5R9MEJ,E1
BS_2ARXK0TD,E3
BS_2AV1H5TV,E2
BS_2DMBCHNF,E4
BS_2EN3X6HB,E2
BS_2FEZWH1F,E4
BS_2HNXVFAS,E2
BS_2JH1QMT1,E2
BS_2JP7RBMB,E2
BS_2K01T8K6,E3
BS_2PDS3MSS,E4
BS_2T5PJAW8,E2
BS_2WANPFBJ,E4
BS_30F3Z9FS,E3
BS_30VC3R2Q,E2
BS_30YWQ3FY,E3
BS_31MBRWC4,E3
BS_333KCNDP,E3
BS_399RPKC9,E2
BS_3AC3SRWH,E1
BS_3MS8WVNR,E1
BS_3ZPJAK9A,E2
BS_45J79YTF,E1
BS_49BQS7Z6,E2
BS_49CJNZ06,E1
BS_4B0BAVTX,E2
BS_4BM3F6XJ,E2
BS_4C6B11E4,E4
BS_4GNN7J8E,E3
BS_4KNBXM3C,E4
BS_4Q3KRCZT,E3
BS_4QW2S1Q8,E4
BS_4T0HQ9QF,E2
BS_4V42BXBT,E2
BS_51RA1PGE,E2
BS_52C576HH,E2
BS_5965SFPZ,E1
BS_5EFYPZT0,E2
BS_5G5BD2MD,E4
BS_5K95FX4C,E4
BS_5KBXD2GQ,E2
BS_5PXZ8F7W,E2
BS_5VPM0F36,E4
BS_62SW4CC5,E4
BS_65WPD3DA,E3
BS_68KX6A42,E4
BS_6DCSD5Y6,E1
BS_6H4Q24WA,E3
BS_6M2053M0,E2
BS_6SY64H5J,E3
BS_6VRG1XFB,E2
BS_6WP1FHTE,E4
BS_7327SDAQ,E2
BS_75YRDXET,E4
BS_77SBTNPN,E2
BS_7AEF4D4G,E4
BS_7APCGCVF,E2
BS_7GJT4A6A,E1
BS_7GKWKGPH,E4
BS_7PVJ6Q3D,E1
BS_7WKNNRHK,E2
BS_84VZX732,E4
BS_84XCR9GG,E2
BS_8E8JKP01,E1
BS_8ERBDF7D,E1
BS_8JK9TXH2,E2
BS_8VD670NP,E2
BS_8YWYN7VH,E4
BS_8ZE4Z9G5,E2
BS_8ZY4GST0,E1
BS_91VYM11A,E2
BS_956G6QPJ,E2
BS_97M1E2DW,E1
BS_9A1YTHFF,E3
BS_9B0A62MT,E4
BS_9CA93S6D,E1
BS_9FHEFJNP,E2
BS_9FX3YREK,E1
BS_9GJ3DB1H,E3
BS_9JPQZQNG,E2
BS_9TXEDSWB,E4
BS_9XVACXP0,E1
BS_9Y1K14Q5,E2
BS_9ZJT0CP0,E2
BS_A4PF49V0,E2
BS_A6NXR7RC,E2
BS_A7Q8G0Y1,E2
BS_A8XW5S0W,E3
BS_AWH9757B,E1
BS_AYSXRQWY,E2
BS_AZQM1JJH,E3
BS_B1C6GZ84,E1
BS_B3MQFFYP,E4
BS_B4R7X1KE,E1
BS_B57327NA,E2
BS_BBAEMXRD,E1
BS_BBQ6BHGN,E2
BS_BK0HGRXM,E3
BS_BMMY0H73,E2
BS_C6ZZ3FY5,E2
BS_C83TK159,E2
BS_CBDQZ8PP,E1
BS_CF63VG3S,E3
BS_CFD3WHAY,E2
BS_CG1RG607,E4
BS_CVEDJGHZ,E3
BS_CXAQDK7S,E4
BS_CZPQ493E,E2
BS_D29RPBSZ,E2
BS_D4VNDNQA,E1
BS_D6J2BGDJ,E1
BS_DFGS950G,E1
BS_DNZVP92S,E2
BS_DR079H0D,E1
BS_DS438CXE,E1
BS_DSPVSM7D,E2
BS_DZNXFPH1,E4
BS_E7NVYA6G,E4
BS_E9CYN4NP,E1
BS_EB0XRBT9,E4
BS_EDJ5TV0P,E1
BS_EMQM7HTA,E2
BS_ENEYB4TG,E3
BS_EXPJQZTH,E4
BS_EZ3147MX,E2
BS_F0JB4EAK,E1
BS_F21R36MM,E2
BS_F65GWS21,E2
BS_F6V1Y4QS,E2
BS_F9Y4Z92G,E1
BS_FCDAH728,E2
BS_FEV5A0HN,E1
BS_FGJH1X0S,E1
BS_FKASA3MN,E1
BS_FN07P04C,E1
BS_FX2P2WEG,E4
BS_FXJY0MNH,E4
BS_FYP2B298,E1
BS_G19QZG4S,E2
BS_G1E5DATJ,E3
BS_G257VSS9,E2
BS_G3NN392N,E2
BS_G3RJTBZD,E1
BS_G5NHSFD4,E1
BS_G8TXTX0H,E2
BS_GG9W3J9Y,E1
BS_GW0GKWMS,E1
BS_GWHYM3R4,E2
BS_GWSJ4Z9H,E4
BS_H5VQJR7X,E4
BS_H97S5SQN,E2
BS_H9JYKFTV,E2
BS_HDHXX8Q7,E2
BS_HDPCQETG,E4
BS_HJRTC9JQ,E4
BS_HJV0J603,E3
BS_HRJ9145M,E4
BS_HWGWYCY7,E4
BS_HZ9AYDCQ,E3
BS_J4JY2F3H,E4
BS_J6212Y48,E2
BS_J6W1RB7A,E2
BS_J9CBGP57,E2
BS_JB43XBCQ,E4
BS_JDSNFYQ0,E2
BS_JJVH7WR0,E1
BS_JMD386Z2,E2
BS_JP95KMRD,E3
BS_JQGJQ2QZ,E3
BS_JQVAWTTM,E2
BS_JQXHHK0K,E1
BS_JRYJGYC4,E2
BS_JS95PE0J,E2
BS_JTWNJ8T7,E1
BS_JVW2JJ39,E1
BS_K0X3PZGN,E3
BS_K17VQECG,E4
BS_K2PCC777,E3
BS_K74N1BXQ,E3
BS_K81PZXP2,E4
BS_K88T8SW7,E3
BS_KABQQA0T,E1
BS_KBEX4RT2,E2
BS_KFD5128N,E2
BS_KKDTW11T,E2
BS_KP735TJ6,E1
BS_KQ6ZW085,E2
BS_KRS4EV4X,E2
BS_KS8HMGA6,E3
BS_KVPWHDR4,E2
BS_M0FA190Y,E3
BS_M0XGZ53Z,E1
BS_M1PVEHCM,E1
BS_M54TWTH4,E2
BS_M7XB258E,E4
BS_M85CXHDV,E4
BS_MB7WN0ZB,E2
BS_MD0937XT,E1
BS_MDBT7S5Z,E1
BS_ME6VQGG4,E2
BS_MFGZH8FK,E2
BS_MG78HQDM,E1
BS_MWWZBQ60,E2
BS_N6TQBQ8M,E2
BS_N7SW36FD,E4
BS_N7VQ1GQB,E4
BS_NB9XXBW6,E2
BS_NEFAASTR,E4
BS_NEVYM2FP,E2
BS_NFKKDYSV,E4
BS_NGSG2KB6,E4
BS_NNYXMSTX,E4
BS_NPA6CZQF,E1
BS_NQ54ST98,E2
BS_NR3P3GN2,E2
BS_NX1R0BC3,E3
BS_P0QF87WC,E2
BS_P4PMWFMV,E2
BS_P7W3AYKV,E3
BS_PENM28KT,E2
BS_PJC6FH4Y,E4
BS_PS0P3QJ3,E2
BS_PXCPK5XS,E2
BS_PZVHMSYN,E2
BS_Q06J3RYW,E3
BS_Q35GFYDR,E2
BS_Q9N5PRD5,E2
BS_QB84TBA3,E1
BS_QGKEP3KB,E4
BS_QH0VYVJK,E4
BS_QHY302E8,E4
BS_QMBS32Y2,E2
BS_QNNX91SM,E2
BS_QY2G1JZJ,E3
BS_QYA4TQXX,E1
BS_R5JQE0VJ,E2
BS_R5SNFB5B,E1
BS_R9B92M75,E2
BS_RHAWQJ48,E3
BS_RHM60031,E2
BS_RJC3WDD6,E1
BS_RN0VAY51,E3
BS_RX1YTZ7F,E2
BS_RZBFH1QF,E1
BS_S2TA8R29,E2
BS_S3C2PZAH,E2
BS_S3MET0JZ,E2
BS_S4V9E1XJ,E4
BS_S5P8VTN5,E2
BS_S6B9DVNS,E1
BS_S6S7SK3P,E1
BS_S8K878T3,E4
BS_SBMAM00V,E2
BS_SBMCD7XZ,E2
BS_SD0EMK7Y,E3
BS_SD8YBRBR,E1
BS_SERDGASJ,E3
BS_SJVTZ5TH,E2
BS_SMWQR2F1,E2
BS_SNVM7CZT,E4
BS_SR2RGDXJ,E2
BS_SW9Z10F9,E4
BS_SY3J3XR9,E1
BS_T1YHK6B7,E2
BS_T2F48Z4E,E4
BS_T9A8JJW5,E2
BS_TASG32Z2,E2
BS_TGS109T3,E1
BS_TM9MH0RP,E2
BS_TR2P8KRF,E2
BS_TRKH2SPE,E1
BS_TRPXB3AV,E2
BS_TTDNZTZ0,E4
BS_TTE04ZP8,E3
BS_TV5B86ZD,E1
BS_TVH33J9Q,E2
BS_TXZ7KHTQ,E2
BS_V0DQFC75,E2
BS_V3Z3DB4N,E1
BS_V558NW3Q,E3
BS_V6RSB5HQ,E2
BS_V8QWBVS3,E4
BS_VBMRQK4F,E3
BS_VDFXXMEX,E1
BS_VF3NVT4G,E3
BS_VKH87DD2,E4
BS_VKHJG2B8,E3
BS_VKYEM67A,E4
BS_VMQMGSJY,E4
BS_VVTHDRBD,E2
BS_W1385R8Y,E2
BS_W4DB5RP1,E1
BS_W7MFJZ5A,E4
BS_WBVSK3MP,E1
BS_WEKK6SHP,E2
BS_WHBEXD5H,E4
BS_WQ1YRTAT,E1
BS_WTJEDTZC,E2
BS_WVRX4C9Z,E3
BS_X0XXN9BK,E4
BS_X1G0TKP4,E4
