Kids_First_Biospecimen_ID,cluster_k
BS_MDBT7S5Z,E1
BS_ME6VQGG4,E1
BS_MFGZH8FK,E1
BS_MG78HQDM,E1
BS_MWWZBQ60,E1
BS_N6TQBQ8M,E1
BS_N7SW36FD,E2
BS_N7VQ1GQB,E2
BS_NB9XXBW6,E1
BS_NEFAASTR,E2
BS_NEVYM2FP,E1
BS_NFKKDYSV,E2
BS_NGSG2KB6,E2
BS_NNYXMSTX,E2
BS_NPA6CZQF,E1
BS_NQ54ST98,E2
BS_NR3P3GN2,E2
BS_NX1R0BC3,E2
BS_P0QF87WC,E2
BS_P4PMWFMV,E1
BS_P7W3AYKV,E2
BS_PENM28KT,E1
BS_PJC6FH4Y,E2
BS_PS0P3QJ3,E1
BS_PXCPK5XS,E1
BS_PZVHMSYN,E1
BS_Q06J3RYW,E2
BS_Q35GFYDR,E1
BS_Q9N5PRD5,E1
BS_QB84TBA3,E1
BS_QGKEP3KB,E2
BS_QH0VYVJK,E2
BS_QHY302E8,E2
BS_QMBS32Y2,E1
BS_QNNX91SM,E1
BS_QY2G1JZJ,E2
BS_QYA4TQXX,E1
BS_R5JQE0VJ,E1
BS_R5SNFB5B,E1
BS_R9B92M75,E1
BS_RHAWQJ48,E2
BS_RHM60031,E1
BS_RJC3WDD6,E1
BS_RN0VAY51,E2
BS_RX1YTZ7F,E1
BS_RZBFH1QF,E1
BS_S2TA8R29,E2
BS_S3C2PZAH,E2
BS_S3MET0JZ,E1
BS_S4V9E1XJ,E2
BS_S5P8VTN5,E1
BS_S6B9DVNS,E1
BS_S6S7SK3P,E1
BS_S8K878T3,E2
BS_SBMAM00V,E1
BS_SBMCD7XZ,E2
BS_SD0EMK7Y,E2
BS_SD8YBRBR,E1
BS_SERDGASJ,E2
BS_SJVTZ5TH,E1
BS_SMWQR2F1,E1
BS_SNVM7CZT,E2
BS_SR2RGDXJ,E2
BS_SW9Z10F9,E2
BS_SY3J3XR9,E1
BS_T1YHK6B7,E1
BS_T2F48Z4E,E2
BS_T9A8JJW5,E1
BS_TASG32Z2,E1
BS_TGS109T3,E1
BS_TM9MH0RP,E1
BS_TR2P8KRF,E1
BS_TRKH2SPE,E1
BS_TRPXB3AV,E1
